username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
vincentfretin,31,0,9,"Products.Archetypes, Products.CMFPlone, Products.LinguaPlone, buildout.coredev, plone.app.collection, plone.app.controlpanel, plone.app.querystring, plone.app.theming, plone.outputfilters",2012-01-08,2012-12-16
seanupton,30,10,9,"Products.CMFPlone, plone.app.event, plone.app.portlets, plone.app.search, plone.app.users, plone.formwidget.datetime, plone.indexer, plone.schemaeditor, plone.uuid",2012-05-20,2012-09-30
jcbrand,30,1,6,"archetypes.multilingual, plone.app.multilingual, plone.app.z3cform, plone.autoform, plone.dexterity, plone.multilingualbehavior",2012-02-05,2012-06-24
rafaelbco,29,5,3,"plone.app.drafts, plone.dexterity, plone.formwidget.multifile",2012-01-22,2012-12-16
malthe,29,8,12,"Products.Archetypes, Products.CMFPlone, Products.CMFQuickInstallerTool, Products.ExtendedPathIndex, Products.ResourceRegistries, plone.app.dexterity, plone.app.querystring, plone.app.registry, plone.app.versioningbehavior, plone.dexterity, plone.testing, plone.z3cform",2012-01-08,2012-11-18
jone,28,0,3,"plone.app.lockingbehavior, plone.app.robotframework, plone.app.versioningbehavior",2012-02-19,2012-10-14
pbauer,26,2,6,"Products.CMFPlacefulWorkflow, plone.api, plone.app.contenttypes, plone.app.event, plone.app.multilingual, plone.app.portlets",2012-01-22,2012-11-25
regebro,25,0,3,"plone.app.event, plone.formwidget.datetime, plone.formwidget.recurrence",2012-01-01,2012-03-11
djay,23,2,7,"Products.CMFPlone, Products.PlonePAS, buildout.coredev, diazo, plone.app.users, plone.registry, plone.resourceeditor",2012-01-01,2012-09-23
fulv,23,0,3,"plone.api, plone.app.dexterity, plone.dexterity",2012-02-19,2012-03-25
jcerjak,21,0,1,plone.api,2012-02-19,2012-07-08
kroman0,21,4,8,"Products.CMFPlacefulWorkflow, Products.LinguaPlone, archetypes.querywidget, plone.app.collection, plone.app.contenttypes, plone.app.robotframework, plone.app.theming, plone.formwidget.querystring",2012-04-29,2012-10-14
toutpt,21,1,9,"Products.ATContentTypes, Products.LinguaPlone, buildout.coredev, plone.app.discussion, plone.app.event, plone.app.layout, plone.app.portlets, plone.app.users, plone.browserlayer",2012-01-22,2012-12-30
davidjb,21,9,13,"Products.CMFPlone, buildout.coredev, diazo, planet.plone.org, plone.app.ldap, plone.app.registry, plone.app.theming, plone.app.users, plone.app.workflow, plone.app.z3cform, plone.recipe.zeoserver, plone.resource, plonetheme.sunburst",2012-01-29,2012-10-21
mitchellrj,19,7,7,"Products.PortalTransforms, collective.monkeypatcher, diazo, plone.app.iterate, plone.app.linkintegrity, plone.app.portlets, plone.app.registry",2012-04-01,2012-09-02
giacomos85,19,0,5,"Products.ATContentTypes, Products.LinguaPlone, plone.app.dexterity, plone.schemaeditor, plone.z3cform",2012-01-01,2012-11-11
miohtama,17,2,6,"Products.LinguaPlone, planet.plone.org, plone.app.layout, plone.app.portlets, plone.app.testing, plone.app.vocabularies",2012-02-05,2012-10-14
dokai,16,3,8,"plone.app.caching, plone.app.search, plone.cachepurging, plone.event, plone.formwidget.contenttree, plone.formwidget.datetime, plone.formwidget.recurrence, plone.indexer",2012-01-15,2012-12-16
domenkozar,16,0,5,"buildout.coredev, plone.api, plone.outputfilters, plone.protect, plonetheme.sunburst",2012-01-01,2012-12-30
zopyx,15,7,6,"Products.Archetypes, Products.CMFPlone, Products.ResourceRegistries, archetypes.referencebrowserwidget, planet.plone.org, plone.app.event",2012-01-22,2012-12-30
mjpieters,14,0,5,"planet.plone.org, plone.app.form, plone.app.linkintegrity, plone.formwidget.autocomplete, plone.recipe.zope2instance",2012-02-12,2012-12-09
pjstevns,14,1,3,"Products.LinguaPlone, plone.app.controlpanel, plone.app.discussion",2012-05-06,2012-11-25
keul,13,14,10,"Products.Archetypes, Products.CMFPlone, Products.LinguaPlone, Products.PloneLanguageTool, archetypes.referencebrowserwidget, plone.app.blob, plone.app.layout, plone.app.upgrade, plonetheme.classic, plonetheme.sunburst",2012-03-25,2012-10-28
gbastien,13,11,4,"Products.Archetypes, Products.CMFPlone, archetypes.referencebrowserwidget, plone.dexterity",2012-07-15,2012-12-16
wamdam,13,0,1,plone.api,2012-02-19,2012-02-26
gborelli,13,4,6,"Products.PloneLanguageTool, plone.app.intid, plone.app.multilingual, plone.app.relationfield, plone.app.z3cform, plone.formwidget.contenttree",2012-03-11,2012-12-16
polyester,13,0,8,"Products.CMFPlone, plone.app.collection, plone.app.layout, plone.app.portlets, plone.app.search, plone.portlet.collection, plonetheme.classic, plonetheme.sunburst",2012-05-20,2012-10-14
tmog,12,6,7,"plone.app.contenttypes, plone.app.dexterity, plone.app.discussion, plone.app.versioningbehavior, plone.dexterity, plone.formwidget.multifile, plone.formwidget.namedfile",2012-07-08,2012-10-14
faro,12,0,2,"plone.app.event, plone.formwidget.recurrence",2012-06-10,2012-06-10
xiru,12,2,1,plone.api,2012-08-19,2012-10-14
cewing,11,2,6,"planet.plone.org, plone.app.blocks, plone.app.iterate, plone.app.robotframework, plone.app.tiles, plone.tiles",2012-01-01,2012-09-30
reinhardt,11,1,2,"plone.api, plone.app.robotframework",2012-10-07,2012-10-14
rudaporto,11,1,1,plone.api,2012-10-07,2012-10-14
bosim,11,6,7,"Products.ExtendedPathIndex, plone.app.collection, plone.app.dexterity, plone.app.querystring, plone.dexterity, plone.formwidget.contenttree, plone.formwidget.querystring",2012-08-26,2012-12-09
petschki,10,3,2,"archetypes.querywidget, plone.app.querystring",2012-07-01,2012-07-08
ichim-david,10,3,4,"archetypes.querywidget, plone.app.collection, plone.app.robotframework, plone.portlet.static",2012-09-23,2012-12-02
cah190,10,0,2,"Products.CMFPlone, plone.app.content",2012-05-13,2012-05-20
ebrehault,10,3,2,"plone.app.caching, plone.app.theming",2012-11-04,2012-11-11
emanlove,9,1,2,"Products.CMFPlone, plone.app.robotframework",2012-06-10,2012-10-07
jensens,9,0,3,"archetypes.querywidget, buildout.coredev, plone.registry",2012-04-29,2012-10-14
phgross,8,3,2,"plone.app.content, plone.formwidget.contenttree",2012-07-22,2012-11-11
jfroche,8,2,3,"Products.Archetypes, plone.app.tiles, plone.tiles",2012-07-08,2012-10-14
runyaga,8,2,4,"Products.CMFEditions, Products.ResourceRegistries, plone.recipe.zope2instance, plone.resourceeditor",2012-05-06,2012-09-02
frapell,8,3,5,"buildout.coredev, plone.app.collection, plone.app.linkintegrity, plone.app.portlets, plone.app.referenceablebehavior",2012-04-22,2012-08-19
kingel,8,4,5,"plone.app.contenttypes, plone.app.dexterity, plone.app.multilingual, plone.app.versioningbehavior, plone.formwidget.contenttree",2012-04-15,2012-08-19
saily,8,0,4,"plone.app.portlets, plone.app.search, plone.multilingualbehavior, plonetheme.sunburst",2012-06-24,2012-12-09
TH-code,7,0,5,"plone.app.contentrules, plone.app.controlpanel, plone.app.discussion, plone.app.registry, plone.app.users",2012-10-14,2012-10-14
marciomazza,6,4,5,"diazo, plone.api, plone.app.blocks, plone.app.tiles, plone.tiles",2012-04-29,2012-06-03
bubenkoff,6,0,1,plone.app.robotframework,2012-10-07,2012-10-14
jianaijun,6,6,6,"plone.app.contentlisting, plone.app.controlpanel, plone.app.dexterity, plone.app.multilingual, plone.app.versioningbehavior, plone.i18n",2012-03-18,2012-12-23
avelino,6,2,1,plone.api,2012-08-19,2012-08-19
jean,6,2,2,"plone.app.async, plone.app.dexterity",2012-04-15,2012-04-22
hersonrodrigues,6,1,3,"plone.app.collection, plone.app.dexterity, plone.portlet.static",2012-08-26,2012-09-02
aclark4life,6,0,3,"planet.plone.org, plone.app.upgrade, plone.recipe.haproxy",2012-01-22,2012-10-21
gforcada,5,6,5,"Products.CMFPlone, plone.app.collection, plone.app.querystring, plone.recipe.haproxy, plone.registry",2012-10-14,2012-12-09
simonedeponti,5,1,1,plone.app.multilingual,2012-10-14,2012-10-14
davilima6,5,1,2,"plone.api, plone.app.portlets",2012-09-09,2012-10-14
MatthewWilkes,5,0,2,"Products.ResourceRegistries, plone.session",2012-10-28,2012-12-30
jonathanlewis,5,2,2,"plone.app.multilingual, plone.multilingualbehavior",2012-03-18,2012-03-18
jbeyers,5,0,2,"plone.app.robotframework, plone.app.theming",2012-10-07,2012-10-14
izak,5,0,3,"Products.ResourceRegistries, plone.app.discussion, plone.app.workflow",2012-03-18,2012-10-21
gweis,4,3,3,"plone.app.registry, plone.resource, plone.supermodel",2012-11-25,2012-12-02
rochecompaan,4,3,3,"Products.CMFQuickInstallerTool, plone.app.textfield, plone.transformchain",2012-01-08,2012-03-04
mmulich,4,1,1,Installers-UnifiedInstaller,2012-01-15,2012-01-29
sureshvv,4,1,1,plone.recipe.zope2instance,2012-09-16,2012-09-16
