number,title,author,state,created_at,updated_at,closed_at,repository,html_url
1742,PLIP: remove support for old style resource registries in Plone 5.2,zopyx,closed,2016-09-02,2019-02-12,2019-02-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1742
1734,PLIP:  Cleanup and enhance icon and thumb aspects,fgrcon,closed,2016-08-30,2017-06-02,2017-06-01,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1734
1677,PLIP: Theme LESS variables management,ebrehault,closed,2016-07-13,2021-11-22,2021-11-22,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1677
1673,PLIP: Auto-Rotation for Images,loechel,closed,2016-07-11,2016-12-15,2016-12-15,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1673
1659,PLIP: Remove plone.app.openid from core,jensens,closed,2016-06-30,2017-07-12,2016-09-16,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1659
1653,PLIP: Restructure CMFPlone static resources,thet,closed,2016-06-28,2022-04-11,2019-06-20,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1653
1606,PLIP WIP: Have a Search field for Plone configuration fields,rodfersou,closed,2016-05-27,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1606
1600,PLIP: Easily change default search order,rodfersou,closed,2016-05-24,2025-09-13,2016-10-07,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1600
1534,PLIP (WIP) not much control over content type selection when uploading,djay,closed,2016-04-19,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1534
1529,PLIP: Reset `define` in RequireJS after bundles loaded,vangheem,closed,2016-04-14,2019-05-21,2019-05-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1529
1492,PLIP: Make It easier for site administrators to customize the toolbar (WIP),pigeonflight,closed,2016-03-25,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1492
1489,PLIP: merge collective.emailconfirmationregistration into core,vangheem,open,2016-03-24,2025-10-24,,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1489
1488,PLIP: New image widget,vangheem,closed,2016-03-24,2016-04-26,2016-04-12,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1488
1487,PLIP(WIP): new modal implementation,vangheem,closed,2016-03-24,2022-02-03,2022-02-03,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1487
1486,PLIP: Merge Products.RedirectionTool into core,vangheem,closed,2016-03-24,2019-06-07,2019-06-07,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1486
1485,"PLIP: Approve use of React in core, deprecate backbone",vangheem,closed,2016-03-24,2022-02-03,2022-02-03,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1485
1484,PLIP: Registry Improvements,vangheem,closed,2016-03-24,2017-03-30,2017-03-24,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1484
1483,PLIP: Retina image scales,ghost,closed,2016-03-22,2017-11-18,2017-03-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1483
1441,Use lxml cleaner for safehtml transforms,tomgross,closed,2016-03-06,2017-02-23,2017-02-23,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1441
1434,PLIP (WIP) confusing where to delete an image,djay,closed,2016-03-03,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1434
1424,PLIP: Adding Gloss Support to Plone Core,pigeonflight,closed,2016-02-28,2016-09-29,2016-09-20,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1424
1406,PLIP: Add support for conditionally import registry records,hvelarde,closed,2016-02-24,2016-10-27,2016-10-27,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1406
1386,PLIP: Content import/export,ebrehault,closed,2016-02-15,2017-03-01,2016-09-23,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1386
1371,PLIP (WIP) navigating to add new content is tedious,djay,closed,2016-02-09,2025-09-13,2025-09-13,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1371
1362,PLIP: Add Archetype-style getters and setters to all fields on default content types,hvelarde,closed,2016-02-04,2016-04-05,2016-02-17,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1362
1351,PLIP: Update Zope Dependencies,thet,closed,2016-01-30,2018-09-27,2018-09-27,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1351
1343,PLIP: assimilate collective.indexing,MrTango,closed,2016-01-27,2017-06-08,2017-06-08,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1343
1342,PLIP: Portal actions control panel,ebrehault,closed,2016-01-27,2018-03-26,2016-09-23,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1342
1340,PLIP: Get rid of portal_quickinstaller,mauritsvanrees,closed,2016-01-26,2018-06-22,2016-09-21,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1340
1334,PLIP: Clean up PlonePAS patches and tools,jensens,closed,2016-01-25,2017-11-14,2017-11-14,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1334
1323,PLIP: Upgrade warnings in changelog files,thet,closed,2016-01-20,2016-04-13,2016-02-25,plone/Products.CMFPlone,https://github.com/plone/Products.CMFPlone/issues/1323
