username,total_commits,total_pull_requests,repositories_count,repositories,first_contribution,last_contribution
jianaijun,1,1,1,guillotina,2021-06-06,2021-06-06
csenger,1,0,1,volto,2021-04-04,2021-04-04
cjwatson,1,0,1,meta,2021-01-03,2021-01-03
robdayz,1,0,1,plone.volto,2021-04-25,2021-04-25
gamboz,1,1,1,plone.app.dexterity,2021-07-11,2021-07-11
craftsbyshuvro,1,1,1,Products.Archetypes,2021-04-18,2021-04-18
alecghica,1,1,1,volto,2021-03-07,2021-03-07
sverbois,1,1,1,plonetheme.barceloneta,2021-06-06,2021-06-06
nilshofer,1,0,1,plonetheme.barceloneta,2021-02-07,2021-02-07
valipod,1,1,1,plone.restapi,2021-07-04,2021-07-04
ladplone,1,0,1,plone.app.contenttypes,2021-02-07,2021-02-07
vincentfretin,1,0,1,buildout.coredev,2021-07-25,2021-07-25
krissik,1,0,1,Products.CMFPlone,2021-02-07,2021-02-07
damiDev8,1,1,1,volto,2021-02-28,2021-02-28
michaellaunay,1,1,1,plone.app.portlets,2021-09-19,2021-09-19
thomasmassmann,1,0,1,Products.CMFPlone,2021-02-07,2021-02-07
MatthewWilkes,1,1,1,Products.CMFPlone,2021-09-05,2021-09-05
AlexBueckig,1,1,1,volto,2021-04-04,2021-04-04
jimbiscuit,1,1,1,volto,2021-12-12,2021-12-12
icemac,0,2,2,"Products.PloneHotfix20210518, plone.recipe.zope2instance",,
MarcoCouto,0,1,1,volto,,
ghost,0,2,1,plonetheme.barceloneta,,
pfreixes,0,1,1,guillotina,,
lferran,0,8,1,guillotina,,
raulclay,0,2,1,pastanaga-angular,,
albertcasado,0,1,1,pastanaga-angular,,
maethu,0,1,1,plone.formwidget.recaptcha,,
sgeulette,0,1,1,plone.app.robotframework,,
rexalex,0,1,1,volto,,
daggelpop,0,1,1,Products.CMFPlone,,
basvanberckel,0,1,1,training,,
bipoza,0,1,1,volto,,
svx,0,4,2,"guillotina, volto",,
jihaisse,0,1,1,plone.app.portlets,,
